SampleID,donor_short,donor_long,size_bin
Avo1,C,KC00,100+
Avo2,C,KC00,2 to 11
Avo3,A,BG89,100+
Avo4,B,PE27,11 to 100
Avo5,D,VL51,100+
Avo6,F,DW73,100+
Avo7,J,WU81,2 to 11
Avo8,G,BE04,100+
Avo9,D,VL51,11 to 100
Avo10,H,CP64,11 to 100
Avo11,E,UQ43,2 to 11
Avo12,E,UQ43,<2
Avo13,J,WU81,<2
Avo14,F,DW73,<2
Avo15,H,CP64,<2
Avo16,H,CP64,2 to 11
Avo17,J,WU81,11 to 100
Avo18,E,UQ43,100+
Avo19,J,WU81,100+
Avo20,B,PE27,100+
Avo21,A,BG89,<2
Avo22,B,PE27,2 to 11
Avo23,I,WH89,<2
Avo24,G,BE04,11 to 100
Avo25,F,DW73,11 to 100
Avo26,I,WH89,11 to 100
Avo27,E,UQ43,11 to 100
Avo28,A,BG89,2 to 11
Avo29,D,VL51,<2
Avo30,B,PE27,<2
Avo31,C,KC00,11 to 100
Avo32,H,CP64,100+
Avo33,G,BE04,2 to 11
Avo34,A,BG89,11 to 100
Avo35,C,KC00,<2
Avo36,I,WH89,2 to 11
Avo37,F,DW73,2 to 11
Avo38,G,BE04,<2
Avo39,D,VL51,2 to 11
Avo40,I,WH89,100+
