donor,size,size2,rep,pH
A,1,<53,1,6.68
A,2,53-250,1,6.76
A,3,250-500,1,6.74
A,4,500-1000,1,6.76
A,5,1000-2000,1,6.78
A,con,Control,1,6.98
A,1,<53,2,6.67
A,2,53-250,2,6.79
A,3,250-500,2,6.78
A,4,500-1000,2,6.78
A,5,1000-2000,2,6.8
A,con,Control,2,6.99
A,1,<53,3,6.68
A,2,53-250,3,6.78
A,3,250-500,3,6.77
A,4,500-1000,3,6.76
A,5,1000-2000,3,6.79
A,con,Control,3,6.98
B,1,<53,1,6.84
B,2,53-250,1,6.85
B,3,250-500,1,6.83
B,4,500-1000,1,6.83
B,5,1000-2000,1,6.87
B,con,Control,1,7
B,1,<53,2,6.88
B,2,53-250,2,6.84
B,3,250-500,2,6.85
B,4,500-1000,2,6.87
B,5,1000-2000,2,6.84
B,con,Control,2,7.01
B,1,<53,3,6.85
B,2,53-250,3,6.84
B,3,250-500,3,6.83
B,4,500-1000,3,6.87
B,5,1000-2000,3,6.86
B,con,Control,3,6.99
C,1,<53,1,6.86
C,2,53-250,1,6.82
C,3,250-500,1,6.9
C,4,500-1000,1,6.92
C,5,1000-2000,1,6.93
C,con,Control,1,7.02
C,1,<53,2,6.85
C,2,53-250,2,6.86
C,3,250-500,2,6.92
C,4,500-1000,2,6.93
C,5,1000-2000,2,6.88
C,con,Control,2,7.02
C,1,<53,3,6.88
C,2,53-250,3,6.89
C,3,250-500,3,6.91
C,4,500-1000,3,6.91
C,5,1000-2000,3,6.92
C,con,Control,3,7.02
D,1,<53,1,6.04
D,2,53-250,1,6.63
D,3,250-500,1,6.71
D,4,500-1000,1,6.72
D,5,1000-2000,1,6.76
D,con,Control,1,7
D,1,<53,2,5.99
D,2,53-250,2,6.59
D,3,250-500,2,6.73
D,4,500-1000,2,6.72
D,5,1000-2000,2,6.75
D,con,Control,2,7
D,1,<53,3,6
D,2,53-250,3,6.57
D,3,250-500,3,6.74
D,4,500-1000,3,6.75
D,5,1000-2000,3,6.73
D,con,Control,3,7
E,1,<53,1,6.75
E,2,53-250,1,6.8
E,3,250-500,1,6.79
E,4,500-1000,1,6.79
E,5,1000-2000,1,6.8
E,con,Control,1,7.01
E,1,<53,2,6.75
E,2,53-250,2,6.81
E,3,250-500,2,6.79
E,4,500-1000,2,6.84
E,5,1000-2000,2,6.82
E,con,Control,2,6.98
E,1,<53,3,6.77
E,2,53-250,3,6.77
E,3,250-500,3,6.82
E,4,500-1000,3,6.8
E,5,1000-2000,3,6.82
E,con,Control,3,6.98
