donor,size,amount,rep,rand
A,Control,0,3,6
C,Control,0,3,8
E,Control,0,2,10
D,Control,0,2,15
A,Control,0,1,27
B,Control,0,2,30
A,Control,0,2,40
C,Control,0,2,41
C,Control,0,1,47
E,Control,0,1,52
D,Control,0,3,66
B,Control,0,3,73
B,Control,0,1,75
D,Control,0,1,95
E,Control,0,3,101
B,100 ?m,10,3,11
B,1000 ?m,10,2,22
C,100 ?m,10,1,25
E,100 ?m,10,1,31
E,100 ?m,10,2,33
B,100 ?m,10,1,35
C,1000 ?m,10,2,37
B,1000 ?m,10,3,38
B,1000 ?m,10,1,39
D,1000 ?m,10,1,44
A,1000 ?m,10,1,46
A,100 ?m,10,2,48
E,1000 ?m,10,2,62
A,100 ?m,10,1,63
D,100 ?m,10,2,74
D,1000 ?m,10,2,79
A,100 ?m,10,3,81
E,1000 ?m,10,1,97
C,100 ?m,10,3,100
D,1000 ?m,10,3,105
A,1000 ?m,10,3,112
C,1000 ?m,10,3,121
C,1000 ?m,10,1,123
C,100 ?m,10,2,125
D,100 ?m,10,3,126
A,1000 ?m,10,2,127
B,100 ?m,10,2,128
E,1000 ?m,10,3,130
D,100 ?m,10,1,131
E,100 ?m,10,3,133
D,1000 ?m,50,1,1
B,100 ?m,50,3,13
C,1000 ?m,50,3,17
B,1000 ?m,50,1,18
D,100 ?m,50,1,20
B,1000 ?m,50,2,23
E,100 ?m,50,2,28
E,1000 ?m,50,2,29
E,100 ?m,50,1,45
B,100 ?m,50,1,49
E,1000 ?m,50,3,51
D,1000 ?m,50,2,53
A,100 ?m,50,2,56
D,100 ?m,50,3,57
A,100 ?m,50,1,59
C,1000 ?m,50,1,61
A,1000 ?m,50,1,65
D,100 ?m,50,2,87
C,100 ?m,50,3,90
E,1000 ?m,50,1,91
B,1000 ?m,50,3,92
C,100 ?m,50,1,99
A,100 ?m,50,3,103
C,100 ?m,50,2,104
B,100 ?m,50,2,106
A,1000 ?m,50,3,108
C,1000 ?m,50,2,111
D,1000 ?m,50,3,115
E,100 ?m,50,3,119
A,1000 ?m,50,2,122
B,100 ?m,100,1,2
E,100 ?m,500,1,7
D,1000 ?m,500,3,12
C,1000 ?m,500,1,14
E,100 ?m,500,3,19
D,100 ?m,500,2,24
C,100 ?m,500,2,32
A,1000 ?m,500,2,42
B,100 ?m,500,3,50
C,100 ?m,500,3,54
B,1000 ?m,500,2,55
A,1000 ?m,500,1,58
B,100 ?m,500,2,60
A,100 ?m,500,3,68
C,100 ?m,500,1,69
D,1000 ?m,500,1,80
E,100 ?m,500,2,86
B,100 ?m,500,1,88
A,1000 ?m,500,3,89
D,100 ?m,500,1,96
B,1000 ?m,500,3,98
E,1000 ?m,500,1,102
A,100 ?m,500,2,107
D,100 ?m,500,3,110
E,1000 ?m,500,2,113
A,100 ?m,500,1,114
E,1000 ?m,500,3,117
C,1000 ?m,500,3,118
D,1000 ?m,500,2,129
B,1000 ?m,500,1,132
C,1000 ?m,500,2,134
C,1000 ?m,100,2,3
E,100 ?m,100,1,4
A,100 ?m,100,2,5
E,1000 ?m,100,3,9
C,100 ?m,100,2,16
D,1000 ?m,100,1,21
C,100 ?m,100,3,26
E,100 ?m,100,3,34
A,1000 ?m,100,2,36
B,1000 ?m,100,2,43
D,100 ?m,100,1,64
E,1000 ?m,100,1,67
B,1000 ?m,100,1,70
C,1000 ?m,100,1,71
A,1000 ?m,100,1,72
C,100 ?m,100,1,76
C,1000 ?m,100,3,77
B,1000 ?m,100,3,78
D,1000 ?m,100,3,82
D,100 ?m,100,3,83
A,1000 ?m,100,3,84
D,1000 ?m,100,2,85
A,100 ?m,100,3,93
B,100 ?m,100,3,94
E,1000 ?m,100,2,109
B,100 ?m,100,2,116
D,100 ?m,100,2,120
A,100 ?m,100,1,124
E,100 ?m,100,2,135
